INFO 2024-05-01 22:16:17,378 basehttp 25156 31700 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2024-05-01 22:16:19,153 basehttp 25156 31700 "GET /admin/auth/user/ HTTP/1.1" 200 11914
INFO 2024-05-01 22:16:19,172 basehttp 25156 31700 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2024-05-01 22:16:19,180 basehttp 25156 31700 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:16:19,213 basehttp 25156 22048 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2024-05-01 22:16:19,213 basehttp 25156 31700 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2024-05-01 22:18:21,172 autoreload 27028 8180 Watching for file changes with StatReloader
INFO 2024-05-01 22:18:24,110 basehttp 27028 10376 "GET /admin/auth/user/ HTTP/1.1" 200 11914
INFO 2024-05-01 22:18:24,131 basehttp 27028 10376 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:18:25,811 basehttp 27028 10376 "GET /admin/auth/user/ HTTP/1.1" 200 11914
INFO 2024-05-01 22:18:25,834 basehttp 27028 10376 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
WARNING 2024-05-01 22:19:43,151 log 27028 10376 Not Found: /admin/auth/logout
WARNING 2024-05-01 22:19:43,151 basehttp 27028 10376 "GET /admin/auth/logout HTTP/1.1" 404 4329
WARNING 2024-05-01 22:19:46,761 log 27028 10376 Not Found: /admin/auth/logout
WARNING 2024-05-01 22:19:46,762 basehttp 27028 10376 "GET /admin/auth/logout HTTP/1.1" 404 4329
INFO 2024-05-01 22:19:47,517 basehttp 27028 10376 "GET /admin/auth/user/ HTTP/1.1" 200 11914
INFO 2024-05-01 22:19:48,875 basehttp 27028 10376 "GET /admin/auth/user/ HTTP/1.1" 200 11914
INFO 2024-05-01 22:19:48,894 basehttp 27028 10376 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:23:14,537 autoreload 27028 8180 W:\Study\Code\20_Фреймворк Django\project\myapp\admin.py changed, reloading.
INFO 2024-05-01 22:23:14,842 autoreload 19176 2588 Watching for file changes with StatReloader
INFO 2024-05-01 22:31:11,777 autoreload 2776 14792 Watching for file changes with StatReloader
INFO 2024-05-01 22:31:53,436 autoreload 2776 14792 W:\Study\Code\20_Фреймворк Django\project\myapp\admin.py changed, reloading.
INFO 2024-05-01 22:31:55,599 autoreload 22924 7100 Watching for file changes with StatReloader
INFO 2024-05-01 22:34:56,166 autoreload 18928 21260 Watching for file changes with StatReloader
INFO 2024-05-01 22:35:42,934 autoreload 18928 21260 W:\Study\Code\20_Фреймворк Django\project\myapp\admin.py changed, reloading.
INFO 2024-05-01 22:35:43,207 autoreload 16676 30004 Watching for file changes with StatReloader
INFO 2024-05-01 22:35:44,516 views 16676 8156 Index page accessed
INFO 2024-05-01 22:35:44,520 basehttp 16676 8156 "GET / HTTP/1.1" 200 542
INFO 2024-05-01 22:35:48,736 basehttp 16676 8156 "GET /admin/ HTTP/1.1" 200 7499
INFO 2024-05-01 22:35:50,679 basehttp 16676 8156 "GET /admin/myapp/client/ HTTP/1.1" 200 17338
INFO 2024-05-01 22:35:50,699 basehttp 16676 8156 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:35:54,292 basehttp 16676 8156 "GET /admin/myapp/client/5/change/ HTTP/1.1" 200 12436
INFO 2024-05-01 22:35:54,312 basehttp 16676 29876 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:35:54,418 basehttp 16676 18008 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2024-05-01 22:35:54,420 basehttp 16676 8156 "GET /static/admin/css/forms.css HTTP/1.1" 200 9090
INFO 2024-05-01 22:35:54,422 basehttp 16676 29876 "GET /static/admin/js/collapse.js HTTP/1.1" 200 1803
